0x803d30,Name value,Description value,Character Number,Class (support viewer only),Portrait (Zero is Default),Mini Portrait (Zero is Default),Affinity,Units Screen Priority,Level,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Defense,Base Resistance,Base Luck,Constitution Bonus,Sword Level,Lance Level,Axe Level,Bow Level,Staff Level,Anima Level,Light Level,Dark Level,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Defense Growth,Magic Defense Growth,Luck Growth,SkillList Pointer,PersonalSkill,Ability,Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Supports Data Pointer,T1 Class,T1 Palette,T2 Class1,T2 Palette1,T2 Class2,T2 Palette2,T3 Class1,T3 Palette1,T3 Class2,T3 Palette2,T3 Class3,T3 Palette3,T3 Class4,T3 Palette4,EscapeQuoteText ID,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN1*** (Zero),***UNKNOWN2*** (Zero),***UNKNOWN3*** (Zero),***UNKNOWN4*** (Zero),***UNKNOWN5*** (Zero)
Lute,0x21d,0x279,0xc,0x26,0x10,0x0,7,0xf,1,1,5,5,3,5,1,1,8,0,0,0,0,0,0,71,0,0,45,65,65,30,45,15,40,45,0,ParagonID,NoAbility,0x0,0x40,0x0,0x0,0x88aeccc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Natasha,0x21e,0x27a,0xd,0x4a,0x11,0x0,4,0x10,1,2,1,1,2,6,2,0,6,0,0,0,0,0,31,0,0,0,50,60,60,25,40,15,55,60,0,SealLukID,NoAbility,0x0,0x40,0x0,0x0,0x88aece4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Cormag,0x21f,0x27b,0xe,0x1f,0x13,0x0,1,0x1f,9,10,7,0,6,5,4,2,4,1,0,71,0,0,0,0,0,0,85,55,5,40,45,25,15,35,0,RallyStrID,NoAbility,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ephraim,0x220,0x27c,0xf,0x1,0x14,0x0,1,0x1,4,5,2,0,3,4,1,2,8,0,0,31,0,0,0,0,0,0,80,55,15,55,45,35,25,50,0,InspirationID,NoAbility,0x0,0x0,0x0,0x0,0x88aebc4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Forde,0x221,0x27d,0x10,0x5,0x16,0x0,3,0x5,5,4,2,1,6,3,2,2,7,0,31,71,0,0,0,0,0,0,85,40,10,50,45,20,25,35,0,SpurSpdID,NoAbility,0x0,0x0,0x0,0x0,0x88aed2c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Kyle,0x222,0x27e,0x11,0x5,0x18,0x0,4,0x4,6,5,4,0,4,2,3,1,6,1,31,71,0,0,0,0,0,0,90,50,10,40,40,25,20,20,0,SpurStrID,NoAbility,0x0,0x0,0x0,0x0,0x88aed14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Amelia,0x223,0x27f,0x12,0x47,0x19,0x0,2,0x13,1,3,1,2,3,3,2,2,6,0,0,1,0,0,0,0,0,0,60,35,25,40,40,30,15,50,0,ParagonID,NoAbility,0x0,0x40,0x0,0x0,0x88aee34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Artur,0x224,0x280,0x13,0x44,0x1a,0x0,4,0xe,2,1,5,5,5,6,1,1,2,0,0,0,0,0,0,0,1,0,55,50,50,50,40,15,55,25,0,FocusID,NoAbility,0x0,0x0,0x0,0x0,0x88aecb4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gerik,0x225,0x281,0x14,0xf,0x1b,0x0,2,0x15,1,14,10,0,5,5,6,4,8,4,71,0,0,0,0,0,0,0,90,45,10,40,30,35,25,30,0,BondID,NoAbility,0x0,0x0,0x0,0x0,0x88aed74,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tethys,0x226,0x282,0x15,0x4d,0x1c,0x0,1,0x16,1,4,0,0,0,5,5,3,10,1,0,0,0,0,0,0,0,0,85,5,5,10,70,30,75,80,0,DemoiselleID,NoAbility,0x0,0x40,0x0,0x0,0x88aed8c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Marisa,0x227,0x283,0x16,0x14,0x1e,0x0,4,0x17,5,8,4,1,3,3,3,2,9,0,31,0,0,0,0,0,0,0,75,30,10,55,60,15,25,50,0,FocusID,NoAbility,0x0,0x40,0x0,0x0,0x88aeda4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Saleh,0x228,0x284,0x17,0x27,0x20,0x0,3,0x18,2,10,11,11,14,10,3,8,11,1,0,0,0,0,71,181,121,0,50,30,30,25,40,30,35,40,0,SpurMagID,NoAbility,0x0,0x0,0x0,0x0,0x88aedbc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ewan,0x229,0x285,0x18,0x3e,0x21,0x0,6,0x19,2,2,2,2,2,4,0,0,5,0,0,0,0,0,0,1,0,0,50,45,45,40,35,15,40,50,0,CelerityID,NoAbility,0x0,0x80,0x0,0x0,0x88aedd4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
LArachel,0x22a,0x286,0x19,0x4b,0x22,0x0,6,0x1b,1,3,8,5,5,7,3,3,12,0,0,0,0,0,31,0,0,0,45,50,50,45,45,15,50,65,0,IntimidateID,NoAbility,0x0,0x40,0x0,0x0,0x88aedec,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Dozla,0x22b,0x287,0x1a,0x43,0x23,0x0,2,0x1c,1,19,9,0,5,2,5,6,4,3,0,0,121,0,0,0,0,0,85,50,5,35,40,30,25,30,0,PivotID,NoAbility,0x0,0x80,0x0,0x0,0x88aee04,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x1B,0x267,0x0,0x1b,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,50,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Rennac,0x22d,0x288,0x1c,0x33,0x24,0x0,5,0x1d,1,12,7,3,15,8,7,11,5,0,121,0,0,0,0,0,0,0,65,25,35,45,60,25,30,25,0,SpurSpdID,NoAbility,0x0,0x0,0x0,0x0,0x88aee4c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Duessel,0x22e,0x289,0x1d,0x35,0x25,0x0,7,0x1e,8,20,9,0,8,6,6,6,8,2,181,181,181,0,0,0,0,0,85,55,5,40,30,45,30,20,0,RepositionID,NoAbility,0x0,0x0,0x0,0x0,0x88aee64,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Myrrh,0x22f,0x28a,0x1e,0x3c,0x26,0x0,3,0x22,1,3,3,2,1,3,0,5,3,0,0,0,0,0,0,0,0,0,130,90,85,85,65,150,30,30,0,DragonsBloodID,NoAbility,0x0,0x40,0x0,0x0,0x88aee7c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Knoll,0x230,0x28b,0x1f,0x2d,0x29,0x0,5,0x20,9,5,10,10,8,6,0,6,0,0,0,0,0,0,0,0,0,71,70,50,50,40,35,10,45,20,0,VoiceOfPeaceID,NoAbility,0x0,0x0,0x0,0x0,0x88aee94,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Joshua,0x231,0x28c,0x20,0x13,0x2a,0x0,3,0x11,5,8,4,0,4,5,3,2,7,0,71,0,0,0,0,0,0,0,80,35,20,55,55,20,20,30,0,GambleID,NoAbility,0x0,0x0,0x0,0x0,0x88aecfc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Syrene,0x232,0x28d,0x21,0x49,0x2b,0x0,2,0x23,1,7,6,4,6,8,5,8,12,1,71,181,0,0,0,0,0,0,70,40,20,50,60,20,50,30,0,TantivyID,NoAbility,0x0,0x40,0x20,0x0,0x88aeeac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tana,0x233,0x28e,0x22,0x48,0x2c,0x0,3,0x12,4,6,3,2,4,8,3,5,8,0,0,31,0,0,0,0,0,0,65,45,15,40,65,20,25,60,0,LilysPoiseID,NoAbility,0x0,0x40,0x20,0x0,0x88aed44,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
LyonCC,0x234,0x28f,0x23,0x4f,0x46,0x0,4,0x24,14,26,13,13,9,6,14,11,4,0,0,0,0,0,181,0,0,251,85,50,50,55,55,45,55,30,0,LunaID,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
OrsonCC,0x236,0x291,0x24,0x7,0x45,0x0,5,0x28,13,25,11,3,11,7,6,8,6,1,181,181,0,0,0,0,0,0,80,55,10,45,40,45,30,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GlenCC,0x24a,0x2a4,0x25,0x21,0x4b,0x0,3,0x27,12,21,11,2,12,6,8,4,7,1,181,181,0,0,0,0,0,0,85,45,0,50,45,35,40,20,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
SelenaCC,0x238,0x293,0x26,0x2a,0x3f,0x0,2,0x26,11,19,10,10,8,10,8,11,10,0,0,0,0,0,121,181,0,0,85,40,40,55,40,20,30,25,0,0x0,NoAbility,0x0,0x40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ValterCC,0x237,0x292,0x27,0x23,0x42,0x0,4,0x29,13,25,12,2,10,9,6,11,3,1,0,251,0,0,0,0,0,0,80,40,10,55,50,20,20,15,0,CharmID,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
RievCC,0x246,0x2a0,0x28,0x2b,0x48,0x0,5,0x2b,16,28,10,10,17,15,13,10,9,0,0,0,0,0,181,0,251,0,75,45,45,50,40,20,45,15,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CaellachCC,0x251,0x2a0,0x29,0x11,0x0,0x6,0,0x0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,50,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
FadoCC,0x25b,0x2b3,0x2a,0xb,0x51,0x0,1,0x2c,11,25,12,4,10,9,5,8,5,3,181,181,181,0,0,0,0,0,85,55,5,40,30,45,25,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
IsmaireCC,0x260,0x2b8,0x2b,0x16,0x56,0x0,3,0x2e,9,14,10,7,9,11,4,12,12,0,181,0,0,0,0,0,0,0,75,30,15,60,55,20,25,30,0,0x0,NoAbility,0x0,0x40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
HaydenCC,0x25c,0x2b4,0x2c,0x1d,0x52,0x0,7,0x2d,10,16,10,2,8,8,6,9,17,1,181,0,0,181,0,0,0,0,70,40,10,45,45,25,25,40,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2D,0x212,0x26e,0x2d,0x2,0x2,0x0,6,0x1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,70,40,0,60,60,30,30,60,0,0x0,NoAbility,0x0,0x40,0x0,0x0,0x88aebac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2E,0x267,0x0,0x2e,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2F,0x267,0x0,0x2f,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x30,0x267,0x0,0x30,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x31,0x267,0x0,0x31,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x32,0x267,0x0,0x32,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x33,0x267,0x0,0x33,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x34,0x267,0x0,0x34,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x35,0x267,0x0,0x35,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x36,0x267,0x0,0x36,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x37,0x267,0x0,0x37,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x38,0x267,0x0,0x38,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
